N,K,direct_ms,fft_ms,fft_direct_ratio,max_diff,fft_min,fft_max
10,3,0.4952,0.9343,0.5300,0.0000,-19.5190,25.8261
10,10,0.5600,0.8387,0.6678,0.0000,-82.4090,48.9057
100,3,0.6362,0.9508,0.6691,0.0000,-32.8409,34.1348
100,10,0.3568,1.2420,0.2873,0.0001,-105.7182,108.3591
100,50,2.1320,1.0229,2.0843,0.0009,-496.6071,588.6346
100,100,1.6838,0.6182,2.7239,0.0024,-1046.0149,984.0728
500,3,0.5077,1.9171,0.2648,0.0000,-36.3397,36.9356
500,10,0.7482,1.7283,0.4329,0.0001,-122.0215,134.1726
500,50,7.0910,10.8135,0.6558,0.0013,-725.7372,661.2632
500,100,25.3656,11.3993,2.2252,0.0053,-1354.7666,1358.6052
500,500,547.0194,10.4098,52.5485,0.0935,-5884.4727,5143.2275
1000,3,1.2131,15.8001,0.0768,0.0000,-26.0604,24.9905
1000,10,2.0051,11.4398,0.1753,0.0001,-130.9602,132.9744
1000,50,28.0800,60.7638,0.4621,0.0014,-722.9612,793.4928
1000,100,100.6365,60.4410,1.6650,0.0063,-1373.7339,1476.6575
1000,500,2318.9652,59.6011,38.9081,0.1328,-7296.5098,7327.1387
1000,1000,8618.5121,59.6185,144.5609,0.4385,-12298.7393,11701.2148
